Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
SPSTIN;SPSTIN3INT-1        ;LT  345 kV IBIUNA               / INTERLAGOS           C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;3381;4397;3381;4000;;D:DJ,BB,TC;0.09;1.50;42;61;;345;;31/12/1990;
SPSTIN;SPSTIN3INT-2        ;LT  345 kV IBIUNA               / INTERLAGOS           C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;3381;4397;3381;4000;;D:DJ,BB,TC;0.09;1.50;42;61;;345;;31/12/1990;
SPEMG ;SPEMG-3BSA-1        ;LT  345 kV EMBU-GUACU           / B. SANTISTA          C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1500;1600;O:TC;O:SC,TC(FT1,3);0.16;1.42;25;46;;345;;01/01/2002;
MGJGSE;MGJGUS3VGRA1        ;LT  345 kV JAGUARA-US           / VOLTA GRANDE-SE      C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1450;1870;1450;1870;;;0.28;2.80;47;89;;345;;31/12/1990;11/07/2016
MGNEVE;MGNEVE3TAQU1        ;LT  345 kV NEVES 1              / TAQUARIL             C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1879;2198;1879;2198;;;0.13;1.37;23;43;;345;;31/12/1990;
MGPIME;MGPIME3TAQU1        ;LT  345 kV PIMENTA              / TAQUARIL             C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1430;1870;1430;1870;;;0.64;6.67;115;215;;345;;31/12/1990;23/12/2013
MGJGSE;MGJGUS3PIME2        ;LT  345 kV JAGUARA-US           / PIMENTA              C 2  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1044;1044;1044;1044;;NORMA;0.45;5.69;94;182;;345;;31/12/1990;
MGJGSE;MGJGUS3PIME1        ;LT  345 kV JAGUARA-US           / PIMENTA              C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1044;1044;1044;1044;;NORMA;0.51;5.68;94;182;;345;;31/12/1990;
MGMCL2;MGMCL23VPAL1        ;LT  345 kV MONTESCLAROS2        / VARZEA PALMA1        C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1879;1879;1170;1369;TC  Várzea da Palma;TC  Várzea da Palma;0.45;4.70;79;149;;345;;31/12/1990;
MGTMSE;MGTMAR3VPAL1        ;LT  345 kV TRES MARIAS-SE       / VARZEA PALMA1        C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1879;1879;1879;1879;;;0.29;3.04;51;96;;345;;31/12/1990;
