Id da Instala��o;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
BALRA ;SUB LARANJEIRAS                                    BA       ;LJI;PARQUE EÓLICO LARANJEIRAS III SA                               ;31/01/2019;24/04/2019,-42.594934999999964,-11.062153999999964
PILDV ;SUB LAGOA DOS VENTOS                               PI       ;SA1;ENEL GREEN POWER VENTOS DE SANTA ANGELA 1 S.A.                 ;31/05/2020;12/11/2020,-41.51090499999998,-8.734465999999998
CEUFAL;SUB FAZENDA ALEX                                   CE       ;AEI;ALEX I ENERGIA SPE SA                                          ;31/05/2021;30/10/2021,-37.967944999999986,-5.26967099999996
BATQN ;SUB TANQUE NOVO                                    BA       ;T67;TANQUE NOVO I ENERGIAS RENOVAVEIS S.A.                         ;01/01/2023;05/05/2023,-42.582928100000004,-13.689518299999975
BAFUT ;SUB FUTURA                                         BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;28/10/2022;,-40.68644444,-9.660199999999975
RNGAM ;SUB GAMELEIRA                                      RN       ;GML;SPE Gameleira Energia S.A.                                     ;25/11/2020;25/06/2021,-35.48799262,-5.241827969999974
BASSD ;SUB COLETORA SOL DO SERTAO                         BA       ;THB;SOL DO SERTAO OB II ENERGIA SOLAR LTDA                         ;31/07/2021;20/08/2021,-42.610434,-12.239129999999989
PIVDP3;SUB VDP3_VENTOS DO PIAUI III                       PI       ;BDO;VENTOS DE SÃO BERNARDO ENERGIAS RENOVÁVEIS S.A.                ;30/11/2021;04/06/2022,-40.574048000000005,-7.99073199999998
RNSAG ;SUB COL SANTO AGOSTINHO                            RN       ;GSU;ENGIE BRASIL ENERGIA S.A.                                      ;01/09/2022;23/03/2023,-36.21800569999999,-5.575381899999968
BABJL ;SUB BJL SOLAR                                      BA       ;BJ4;BJL4 SOLAR SA                                                  ;30/11/2017;12/05/2018,-43.46364,-13.316115999999965
PEFVD ;SUB FONTES DOS VENTOS II                           PE       ;82;Enel Green Power Fontes dos Ventos 3 S.A.                      ;30/04/2021;22/12/2021,-38.057286999999974,-9.018493999999976
BAUPR3;USI UTE PROSPERIDADE 3                             BA       ;IME;IMETAME ENERGIA LTDA                                           ;31/01/2023;03/05/2023,-38.207336,-12.499614999999949
