Id da Instala��o;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Propriet�rio;N�mero da Outorga;Capacidade CPST Longa sem Limita��o (A);Capacidade CPST Curta sem Limita��o (A);Capacidade CPST Longa com Limita��o (A);Capacidade CPST Curta com Limita��o (A);Fator Limitante de Longa;Fator Limitante de Curta;Resist�ncia (%);Reat�ncia Fixa (%);Suscept�ncia Shunt (MVAr);Comprimento (Km);Tipo do Cabo P�ra-raio;Tens�o;Data de Necessidade do SIN;Data Entrada;Data Prevista
MAUTM4;MAUTM45SEPN2        ;LT  500 kV UT.MARANHAO 4        / PARNAIBA             C 2  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.01;0.02;0;0;;500;;01/02/2013;28/02/2013
MAUTM5;MAUTM55SEPN1        ;LT  500 kV UT.MARANHAO 5        / PARNAIBA             C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.01;0.02;0;0;;500;;12/04/2013;30/04/2013
MAUTM5;MAUTM55SEPN2        ;LT  500 kV UT.MARANHAO 5        / PARNAIBA             C 2  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.01;0.02;0;0;;500;;29/03/2013;30/04/2013
MAUTNV;MAUTNV5SEPN1        ;LT  500 kV U.NV.VENECIA2        / PARNAIBA             C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA II GERAÇÃO DE ENERGIA S.A.                            ;;;;;;;;0.01;0.02;0;0;;500;;23/10/2013;30/12/2013
MAUTP5;MAUTP55SEPN3        ;LT  500 kV UT.PARNAIBA V        / PARNAIBA             C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.01;0.23;0;;;500;;12/11/2022;31/01/2021
PILDV ;PILDV-5SJI-1        ;LT  500 kV LAG. DOS VENTOS      / S.JOAO PIAUI         C P2 PI          ;LTR;COMPLEMENTAR   ;ENEL GREEN POWER VENTOS DE SANTA ANGELA 1 S.A.                 ;;;;;;;;0.09;1.28;118;96;;500;;12/11/2020;31/05/2020
BAOIT ;PIOIT-5QND-1        ;LT  500 kV OITIS                / QUEIMADA NOVA 2      C L4 PI          ;LTR;COMPLEMENTAR   ;OITIS 1 ENERGIA RENOVAVEL SA                                   ;;;;;;;;0.06;0.79;85;64;;500;;22/07/2022;25/04/2022
PISGO ;PISGO-5GID-1        ;LT  500 kV SAO GONCALO          / GILBUES II           C L4 PI          ;LTR;COMPLEMENTAR   ;ENEL GREEN POWER SAO GONCALO 1 S.A.                            ;;;;;;;;0.04;0.54;49;40;;500;;22/02/2020;31/10/2019
RNCSER;RNCSER5SLD-L1PB     ;LT  500 kV OESTE SERIDO         / SANTA LUZIA II       C L1 RN/PB       ;LTR;COMPLEMENTAR   ;CENTRAL GERADORA EOLICA SERIDO X S.A.                          ;;;;;;;;0.05;0.56;55;45;;500;;27/12/2023;30/09/2023
RNJER ;RNJER-5MVR-1        ;LT  500 kV JERUSALEM            / MONTE VERDE          C M1 RN          ;LTR;COMPLEMENTAR   ;CENTRAL EÓLICA JERUSALÉM I                                     ;;;;;;;;0.02;0.35;32;26;;500;;22/12/2022;01/02/2022
RNJND ;RNJND-5JCT-R1       ;LT  500 kV JANDAIRA II          / J. CAMARA III        C V1 RN          ;LTR;BASICA         ;ARGO VI TRANSMISSAO DE ENERGIA S.A                             ;;2910;3492;2910;3492;;;0.02;0.31;44;29;;500;;28/04/2023;19/12/2022
RNJND ;RNJND-5MVR-R1       ;LT  500 kV JANDAIRA II          / MONTE VERDE          C N2 RN          ;LTR;BASICA         ;ARGO VI TRANSMISSAO DE ENERGIA S.A                             ;;2910;3492;2919;3492;;;0.01;0.10;15;10;;500;;28/04/2023;19/12/2022
RNMTV ;RNMVR-5ACT-4        ;LT  500 kV MONTE VERDE          / ACU III              C V4 RN          ;LTR;BASICA         ;ARGO VI TRANSMISSAO DE ENERGIA S.A                             ;;2910;3680;2910;3680;;;0.07;1.05;149;97;;500;;01/09/2022;28/02/2022
RNRDV ;RNRDV-5CID-1        ;LT  500 kV RIO DO VENTO         / CEARA MIRIM 2        C P1 RN          ;LTR;COMPLEMENTAR   ;Casa dos Ventos Energias Renováveis SA                         ;;;;;;;;0.06;0.72;77;58;;500;;19/06/2021;14/04/2021
RNSAG ;RNSAG-5MVR-1        ;LT  500 kV SANTO AGOSTINHO      / MONTE VERDE          C P1 RN          ;LTR;COMPLEMENTAR   ;EOLICA SANTO AGOSTINHO 1 S.A.                                  ;;;;;;;;0.02;0.22;19;17;;500;;23/03/2023;01/09/2022
RNSDM ;RNSDM-5ACT-1        ;LT  500 kV SERRA DO MEL         / ACU III              C P1 RN          ;LTR;COMPLEMENTAR   ;VENTOS DE VILA CEARÁ II SPE S.A                                ;;;;;;;;0.04;0.68;64;50;;500;;08/02/2020;30/11/2019
BAFLA ;BAFLA-2SNB-1        ;LT  230 kV FOLHA LARGA          / SR.BONFIM II         C P1 BA          ;LTR;COMPLEMENTAR   ;PARQUE EOLICO VENTOS DE SAO JANUARIO 01 S.A.                   ;;;;;;;;0.21;2.16;8;34;;230;;14/05/2020;31/01/2020
BAFLS ;BAFLS-2FLA-1        ;LT  230 kV FOLHA LARGA SUL      / FOLHA LARGA          C L1 BA          ;LTR;COMPLEMENTAR   ;VENTOS DE SAO BENTO ENERGIAS RENOVAVEIS S.A                    ;;;;;;;;0.29;1.65;3;18;;230;;14/05/2020;31/01/2020
CEABA ;CEABA-2BNO-L5PE     ;LT  230 kV ABAIARA              / BOM NOME             C L5 CE/PE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1003;1003;1003;1003;;;1.07;4.98;26;82;;230;;25/11/2023;31/07/2023
CEABA ;CEABA-2MLG-L2       ;LT  230 kV ABAIARA              / MILAGRES             C L2 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1003;1003;1003;1003;;;0.20;1.13;3;15;;230;;25/11/2023;31/07/2023
CEIBD ;CEIBD-2MRG-1PI      ;LT  230 kV IBIAPINA II          / MARANGATU            C N2 CE/PI       ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;;;;;;;;0.31;3.09;12;47;;230;;01/04/2024;31/10/2023
CESJAN;CESJAN2RSD-1        ;LT  230 kV JANDAIA              / RUSSAS II            C P4 CE          ;LTR;COMPLEMENTAR   ;ENERGIA DOS VENTOS VII S.A.                                    ;;;;;;;;1.34;6.17;12;69;;230;;30/05/2020;31/01/2020
RNCMR ;RNCMR-2JCT-1        ;LT  230 kV COL CUMARU           / J. CAMARA III        C N4 RN          ;LTR;COMPLEMENTAR   ;ENEL GREEN POWER CUMARU 01 S.A.                                ;;;;;;;;0.35;2.47;5;27;;230;;04/08/2021;01/04/2021
PICNP ;PICNP-5MLD-2CE      ;LT  500 kV CURRAL PIAUI II      / MILAGRES II          C 2  PI/CE       ;LTR;BASICA         ;IRACEMA TRANSMISSORA DE ENRGIA S.A                             ;;;;;;;;;;;1;;500;30/09/2017;;31/07/2022
BAPAF ;ALSTN-2PAF-1BA      ;LT  230 kV P.AFONSO III         / SANTANA II           C L1 BA/AL       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;516;;Altura segurança;1.98;10.73;18;107;;230;;21/09/2021;21/03/2022
MAUTNV;MAUTNV5SEPN2        ;LT  500 kV U.NV.VENECIA2        / PARNAIBA             C 2  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA II GERAÇÃO DE ENERGIA S.A.                            ;;;;;;;;0.01;0.02;0;;;500;;;31/10/2023
PISJI ;PISJI-5SJII1        ;LT  500 kV S.JOAO PIAUI         / S.JOAO PIAUI II      C 1  PI          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA NORTE E NORDESTE S.A                     ;001/2024  ;;;;;;;;;;4;;500;31/12/2024;;30/06/2029
CEBNB ;CEBNB-2ALX-1-------1;LT  230 kV BANABUIU             / ALEX                 C 1  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;3;;230;31/10/2022;;30/06/2029
CEPCT ;CEPCT-5PED-1        ;LT  500 kV PACATUBA             / PECEM II             C 1  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;0.05;0.76;108;2;;500;31/10/2022;;30/06/2029
SEUPS1;SEUPS15JDM-1        ;LT  500 kV PORTO SERGIPE I      / JARDIM               C P1 SE          ;LTR;BASICA         ;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;;;;;;;;0.03;0.39;121;33;;500;31/03/2018;21/03/2020;31/03/2019
RNRID ;RNRID-2ETD-1        ;LT  230 kV RIACHAO II           / EXTREMOZ II          C M3 PB/RN       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1262;1590;1262;1590;;;0.90;6.48;24;97;;230;;02/11/2023;31/05/2023
BAICA ;BAICA-5IGT-2        ;LT  500 kV IBICOARA             / IGAPORA III          C 2  BA          ;LTR;BASICA         ;;;;;;;;;;;;39;;500;31/01/2016;;09/09/9999
BAPPT ;BAOUR-5PPT-F4       ;LT  500 kV PEDRA PINTADA        / OUROLANDIA II        C F4 BA          ;LTR;COMPLEMENTAR   ;USINA EÓLICA PEDRA PINTADA A LTDA.                             ;;;;;;;;0.02;0.26;28;21;;500;;27/07/2024;01/08/2023
CESBT ;CESBT-2AUD-5        ;LT  230 kV SOBRAL III           / ACARAU II            C P5 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;;;;;;0.01;0.02;;;;230;;;29/03/2024
BAVSE ;BAVSE-5GOR-2        ;LT  500 kV VTS STA EUGENIA      / GENTIO OURO II       C V2 BA          ;LTR;COMPLEMENTAR   ;OSLO I S/A                                                     ;;;;;;;;0.06;0.74;79;60;;500;;22/12/2022;01/09/2022
MAUTP4;MAUTP45SEPN1        ;LT  500 kV UT.PARNAIBA 4        / PARNAIBA             C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.01;0.02;0;0;;500;;13/12/2013;01/12/2013
CEIBD ;CEIBD-2PRI-1PI      ;LT  230 kV IBIAPINA II          / PIRIPIRI             C N1 CE/PI       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;500;630;500;595;;LT Alt.Seg.;1.64;8.44;15;86;;230;31/03/2013;12/09/2016;30/08/2016
PITSD ;PITSD-5TIA-1CE      ;LT  500 kV TERESINA II          / TIANGUA II           C V9 PI/CE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;013/2015  ;2452;3090;2452;3090;;;0.19;2.87;417;248;;500;31/01/2019;18/09/2019;27/06/2021
CEART ;CEART-2MLG-2        ;LT  230 kV ARATICUM             / MILAGRES             C 2  CE          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;001/2024  ;;;;;;;;;;18;;230;31/12/2023;;30/12/2029
PETAT ;PETAT-2UST-1BA      ;LT  230 kV TACARATU             / P. AFONSO III        C 1  PE/BA       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;14821/23  ;;;;;;;;;;14;;230;31/10/2022;;26/07/2026
PICNP ;PICNP-5MLD-1CE      ;LT  500 kV CURRAL PIAUI II      / MILAGRES II          C C6 PI/CE       ;LTR;BASICA         ;IRACEMA TRANSMISSORA DE ENRGIA S.A                             ;007/2012  ;2300;2300;2300;2300;;;0.15;2.22;325;210;;500;;17/11/2022;09/02/2022
PISJII;PISJII5RGV-1        ;LT  500 kV S.JOAO PIAUI II      / RIB.GONCALVES        C 1  PI          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA NORTE E NORDESTE S.A                     ;001/2024  ;;;;;;;;;;4;;500;31/12/2024;;30/06/2029
PISJII;PISJII5RGV-3        ;LT  500 kV S.JOAO PIAUI II      / RIB.GONCALVES        C 3  PI          ;LTR;BASICA         ;EDP TRANSMISSAO NORDESTE S.A.                                  ;001/2024  ;;;;;;;;;;308;;500;31/12/2022;;30/06/2029
BAFMRP;BAFMRP2GID-1PI      ;LT  230 kV FORMOSA R.PRETO      / GILBUES II           C 1  BA/PI       ;LTR;BASICA         ;EDP TRANSMISSAO NORTE NORDESTE 1 S.A.                          ;001/2024  ;;;;;;;;;;212;;230;31/12/2028;;30/06/2029
CEICO ;CEICO-2MLG-3        ;LT  230 kV ICO                  / MILAGRES             C 3  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;2563/23   ;;;;;;;;;;2;;230;31/10/2022;;27/07/2026
CEBNB ;CEBNB-2ICO-3        ;LT  230 kV BANABUIU             / ICO                  C 3  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;2563/23   ;;;;;;;;;;2;;230;31/10/2022;;27/07/2026
PEFLD ;PEFTD-2ZBII1AL      ;LT  230 kV FLORESTA II          / ZEBU III             C 1  PE/AL       ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;001/2024  ;;;;;;;;;;76;;230;31/12/2024;;31/12/2024
ALZBD ;ALZBD-2ZBII2        ;LT  230 kV ZEBU 2               / ZEBU III             C 2  AL          ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;001/2024  ;;;;;;;;;;7;;230;31/10/2022;;30/06/2029
ALZBD ;ALZBD-2ZBII1        ;LT  230 kV ZEBU 2               / ZEBU III             C 1  AL          ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;001/2024  ;;;;;;;;;;7;;230;31/10/2022;;30/06/2029
CEFZD ;CEFZD-5PCT-1        ;LT  500 kV FORTALEZA II         / PACATUBA             C 1  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;2;;500;31/10/2022;;30/06/2029
