Id da Instala��o;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Propriet�rio;N�mero da Outorga;Capacidade CPST Longa sem Limita��o (A);Capacidade CPST Curta sem Limita��o (A);Capacidade CPST Longa com Limita��o (A);Capacidade CPST Curta com Limita��o (A);Fator Limitante de Longa;Fator Limitante de Curta;Resist�ncia (%);Reat�ncia Fixa (%);Suscept�ncia Shunt (MVAr);Comprimento (Km);Tipo do Cabo P�ra-raio;Tens�o;Data de Necessidade do SIN;Data Entrada;Data Prevista
BAPAF ;BAPAF-2CCD-1        ;LT  230 kV P.AFONSO III         / CICERO DANTAS        C S2 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;621;;;2.46;13.15;23;134;;230;;31/12/1990;16/12/2018
BACCD ;BACCD-2CTU-1        ;LT  230 kV CICERO DANTAS        / CATU                 C L2 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;;LT - Altura Seg.;3.67;19.59;34;201;;230;;31/12/1990;
BACMD ;BACMD-2CTG-2        ;LT  230 kV CAMACARI II          / COTEGIPE             C M5 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1262;1590;1262;1590;;;0.21;1.64;5;23;;230;;31/12/1990;30/11/2019
BACMD ;BACMD-2MTT-1        ;LT  230 kV CAMACARI II          / MATATU               C M7 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;0.87;4.71;8;47;;230;;31/12/1990;
BACMD ;BACMD-2PTU-2        ;LT  230 kV CAMACARI II          / PITUACU              C M9 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1262;1590;1200;1200;CH;CH;0.36;2.64;9;39;;230;;13/01/2002;
BACTG ;BACTG-2JCR-1        ;LT  230 kV COTEGIPE             / JACARACANGA          C L3 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1060;1297;1060;1297;;;0.29;1.16;3;15;;230;;31/12/1990;30/12/2018
BACTU ;BACTU-2GVM-1        ;LT  230 kV CATU                 / G.MANGABEIRA         C M3 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;;LT - Altura Seg.;1.42;7.57;13;77;;230;;31/12/1990;12/11/2021
BACMD ;BACMD-2GVM-1        ;LT  230 kV CAMACARI II          / G.MANGABEIRA         C C7 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;1.54;7.84;15;84;;230;;31/12/1990;
MAPD  ;MAPD--2PR--1        ;LT  230 kV P.DUTRA              / PERITORO             C 1  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;335;668;842;668;842;;;1.68;9.94;19;120;;230;31/03/2002;01/03/2003;31/12/2002
MALD  ;MALD--2LI--1        ;LT  230 kV SAO LUIS II          / SAO LUIS I           C 1  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;1456;1704;1074;1202;LIMITE T. BARRA;Limite termico barra;0.21;1.26;5;19;;230;;31/12/1990;13/06/2010
MALD  ;MALD--2LI--2        ;LT  230 kV SAO LUIS II          / SAO LUIS I           C 2  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;1456;1704;1074;1202;Limite Termico Barra;Limite termico barra;0.21;1.26;5;19;;230;;31/12/1990;01/08/2010
MALD  ;MALD--2MR--1        ;LT  230 kV SAO LUIS II          / MIRANDA II           C 1  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;586;738;586;600;;Faixa de Servidão;2.08;9.96;18;105;;230;;08/12/2002;
MAIZ  ;MAIZ--2PF--1        ;LT  230 kV IMPERATRIZ           / PORTO FRANCO         C 1  MA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;586;738;586;738;;;1.94;10.88;19;111;2;230;;31/12/1990;
CEACT ;CEACT-2RSD-2        ;LT  230 kV ARACATI III          / RUSSAS II            C 2  CE          ;LTR;BASICA         ;;;744;902;744;902;;;;;;65;;230;31/01/2016;;31/12/2022
RNCMM ;RNCMM-2ETD-1        ;LT  230 kV CEARA MIRIM 2        / EXTREMOZ II          C Z1 RN          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1380;1740;1380;1740;;;0.12;1.24;5;31;;230;31/03/2013;21/10/2014;30/10/2014
PESUT ;PESUT-2UTPE1        ;LT  230 kV SUAPE III            / TERMOPERNAMBU        C S3 PE          ;LTR;COMPLEMENTAR   ;Termopernambuco S/A                                            ;006/2008  ;;;;;;;0.05;0.38;1;5;;230;31/07/2009;08/07/2012;30/07/2012
PEBGI ;PEBGI-2VZD-2        ;LT  230 kV BONGI                / JOAIRAM              C V5 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;131;631;795;631;631;;LT - Altura Seg.;0.12;0.61;1;6;;230;31/07/2005;23/07/2006;30/07/2006
PERCD ;PERCD-2VZD-2        ;LT  230 kV RECIFE II            / JOAIRAM              C V2 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;131;880;880;880;880;;;0.14;0.70;1;7;;230;31/07/2005;23/07/2006;17/12/2007
BAPAQ ;BAPAQ-5USQ-4        ;LT  500 kV P. AFONSO IV_SE      / P. AFONSO IV         C G4 BA          ;LTR;COMPLEMENTAR   ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;;;;;;0.02;0.02;0;1;;500;;31/12/1990;
